datetime,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2023-01-03,127.31,122.1,127.93,121.2,112117471,14089997056.0,5.3,-3.83,-4.86,0.71
2023-01-04,123.92,123.39,125.686,122.11,89113633,11286619392.0,2.93,1.06,1.29,0.56
2023-01-05,124.16,122.05,124.8,121.79,80962708,10208283392.0,2.44,-1.09,-1.34,0.51
2023-01-06,123.04,126.65,127.32,121.92,87754715,11253594880.0,4.42,3.77,4.6,0.55
2023-01-09,127.495,127.18,130.44,126.92,70790813,9321838592.0,2.78,0.42,0.53,0.45
2023-01-10,127.29,127.76,128.294,125.15,63896155,8294076160.0,2.47,0.46,0.58,0.4
2023-01-11,128.28,130.52,130.54,127.49,69458949,9189818112.0,2.39,2.16,2.76,0.44
2023-01-12,130.91,130.44,131.29,128.47,71379648,9504039680.0,2.16,-0.06,-0.08,0.45
2023-01-13,129.06,131.79,131.95,128.69,57809719,7728194816.0,2.5,1.03,1.35,0.37
2023-01-17,131.86,132.97,134.32,131.16,63646627,8641583104.0,2.4,0.9,1.18,0.4
2023-01-18,133.845,132.24,135.64,132.06,69672800,9501926144.0,2.69,-0.55,-0.73,0.44
2023-01-19,131.11,132.3,133.28,130.8,58280413,7866656256.0,1.88,0.05,0.06,0.37
2023-01-20,132.31,134.9,135.05,131.25,80223626,10935260928.0,2.87,1.97,2.6,0.51
2023-01-23,135.15,138.14,140.345,134.93,81760313,11549243136.0,4.01,2.4,3.24,0.52
2023-01-24,137.335,139.56,140.19,137.33,66435142,9469000704.0,2.07,1.03,1.42,0.42
2023-01-25,137.92,138.89,139.46,135.84,65799349,9257675776.0,2.59,-0.48,-0.67,0.42
2023-01-26,140.2,140.99,141.28,138.93,54105068,7755127552.0,1.69,1.51,2.1,0.34
2023-01-27,140.185,142.96,144.26,140.11,70555843,10289952256.0,2.94,1.4,1.97,0.45
2023-01-30,141.985,140.03,142.58,139.88,64015274,9197568512.0,1.89,-2.05,-2.93,0.4
2023-01-31,139.73,141.32,141.37,139.31,65874459,9462021376.0,1.47,0.92,1.29,0.42
2023-02-01,141.0,142.46,143.64,138.35,77663633,11169101824.0,3.74,0.81,1.14,0.49
2023-02-02,145.93,147.85,148.21,145.2,118338980,17728632576.0,2.11,3.78,5.39,0.75
2023-02-03,145.06,151.53,154.41,144.86,154357337,23861273600.0,6.46,2.49,3.68,0.98
