datetime,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2024-01-02,151.54,149.93,152.38,148.39,47339424,7093485824.0,2.63,-1.32,-2.01,0.46
2024-01-03,149.2,148.47,151.05,148.33,49425495,7390015744.0,1.81,-0.97,-1.46,0.48
2024-01-04,145.59,144.57,147.38,144.05,56039807,8150372096.0,2.24,-2.63,-3.9,0.54
2024-01-05,144.69,145.24,146.59,144.53,45153147,6569124608.0,1.42,0.46,0.67,0.43
2024-01-08,146.74,149.1,149.4,146.15,46757053,6932613376.0,2.24,2.66,3.86,0.45
2024-01-09,148.33,151.37,151.71,148.21,43812567,6598935552.0,2.35,1.52,2.27,0.42
2024-01-10,152.06,153.73,154.42,151.881,44421830,6817808384.0,1.68,1.56,2.36,0.43
2024-01-11,155.04,155.18,157.17,153.12,49072691,7608792832.0,2.63,0.94,1.45,0.47
2024-01-12,155.39,154.62,156.2,154.01,40484155,6268523520.0,1.41,-0.36,-0.56,0.39
2024-01-16,153.53,153.16,154.99,152.15,41384636,6337973248.0,1.84,-0.94,-1.46,0.4
2024-01-17,151.49,151.71,152.15,149.91,34953363,5284272640.0,1.46,-0.95,-1.45,0.34
2024-01-18,152.77,153.5,153.775,151.82,37850245,5794977024.0,1.29,1.18,1.79,0.36
2024-01-19,153.83,155.34,155.76,152.74,51651628,7981506816.0,1.97,1.2,1.84,0.5
2024-01-22,156.89,154.78,157.05,153.9,43687468,6768862464.0,2.03,-0.36,-0.56,0.42
2024-01-23,154.85,156.02,156.21,153.93,37986039,5896317952.0,1.47,0.8,1.24,0.37
2024-01-24,157.8,156.87,158.51,156.48,48547315,7642325504.0,1.3,0.54,0.85,0.47
2024-01-25,156.95,157.75,158.505,154.55,43638592,6858114048.0,2.52,0.56,0.88,0.42
2024-01-26,158.42,159.12,160.72,157.91,51047353,8127538688.0,1.78,0.87,1.37,0.49
2024-01-29,159.34,161.26,161.29,158.9,45270385,7252607488.0,1.5,1.34,2.14,0.44
2024-01-30,160.7,159.0,161.73,158.49,45207430,7219787520.0,2.01,-1.4,-2.26,0.44
2024-01-31,157.0,155.2,159.01,154.81,50284371,7860377088.0,2.64,-2.39,-3.8,0.48
2024-02-01,155.87,159.28,159.76,155.62,76542419,12102733824.0,2.67,2.63,4.08,0.74
2024-02-02,169.19,171.81,172.5,167.33,117218313,20039507712.0,3.25,7.87,12.53,1.13
2024-02-05,170.2,170.31,170.55,167.7,55081297,9334908672.0,1.66,-0.87,-1.5,0.53
2024-02-06,169.39,169.15,170.71,167.65,42505518,7177485824.0,1.8,-0.68,-1.16,0.41
2024-02-07,169.48,170.53,170.88,168.94,47174060,8027458304.0,1.15,0.82,1.38,0.45
2024-02-08,169.65,169.84,171.43,168.88,42316454,7205809664.0,1.5,-0.4,-0.69,0.41
2024-02-09,170.9,174.45,175.0,170.58,56985986,9883045120.0,2.6,2.71,4.61,0.55
2024-02-12,174.8,172.34,175.39,171.54,51050440,8848228096.0,2.21,-1.21,-2.11,0.49
2024-02-13,167.73,168.64,170.95,165.75,56345122,9515567104.0,3.02,-2.15,-3.7,0.54
2024-02-14,169.21,170.98,171.21,168.28,42815544,7278091264.0,1.74,1.39,2.34,0.41
2024-02-15,170.58,169.8,171.17,167.59,49855196,8445372160.0,2.09,-0.69,-1.18,0.48
2024-02-16,168.74,169.51,170.42,167.17,48107744,8137821696.0,1.91,-0.17,-0.29,0.46
2024-02-20,167.83,167.08,168.71,165.74,41980326,7003630080.0,1.75,-1.43,-2.43,0.4
2024-02-21,168.94,168.59,170.23,167.14,44575623,7512600064.0,1.85,0.9,1.51,0.43
2024-02-22,173.1,174.58,174.8,171.77,55392354,9615133952.0,1.8,3.55,5.99,0.53
2024-02-23,174.28,174.99,175.75,173.7,59715243,10435097600.0,1.17,0.23,0.41,0.57
2024-02-26,175.7,174.73,176.37,174.26,44368614,7764244992.0,1.21,-0.15,-0.26,0.43
2024-02-27,174.075,173.54,174.62,172.86,31141732,5410286336.0,1.01,-0.68,-1.19,0.3
2024-02-28,172.44,173.16,174.05,172.27,28180482,4885869312.0,1.03,-0.22,-0.38,0.27
2024-02-29,173.01,176.76,177.22,172.85,53805359,9452390912.0,2.52,2.08,3.6,0.52
2024-03-01,176.75,178.22,178.725,176.07,31981152,5688232704.0,1.5,0.83,1.46,0.31
2024-03-04,177.53,177.58,180.14,177.49,37381520,6676572928.0,1.49,-0.36,-0.64,0.36
2024-03-05,176.93,174.12,176.93,173.303,37228343,6494886656.0,2.04,-1.95,-3.46,0.36
2024-03-06,175.54,173.51,176.46,173.26,32090926,5594632704.0,1.84,-0.35,-0.61,0.31
2024-03-07,174.83,176.82,177.99,173.72,34063283,6010660096.0,2.46,1.91,3.31,0.33
2024-03-08,176.44,175.35,178.785,174.33,37893242,6678492672.0,2.52,-0.83,-1.47,0.36
2024-03-11,174.31,171.96,174.47,171.47,28484777,4911405568.0,1.71,-1.93,-3.39,0.27
2024-03-12,173.5,175.39,176.76,171.98,36610604,6418865152.0,2.78,1.99,3.43,0.35
2024-03-13,175.9,176.555,177.62,175.55,30772600,5438966528.0,1.18,0.66,1.165,0.3
