datetime,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2020-01-02,65.991,67.004,67.004,65.895,1364265,1856839600.0,1.69,2.23,1.464,0.46
2020-01-03,65.97,66.646,67.258,65.936,1170629,1596940000.0,1.97,-0.53,-0.358,0.39
2020-01-06,66.152,68.461,68.486,66.12,2339343,3248205456.0,3.55,2.72,1.815,0.78
2020-01-07,68.593,68.326,68.745,68.148,1726456,2413958352.0,0.87,-0.2,-0.135,0.58
2020-01-08,68.311,68.822,69.163,68.202,1766274,2482403024.0,1.41,0.73,0.496,0.59
2020-01-09,69.667,69.56,70.004,69.081,1661438,2359147600.0,1.34,1.07,0.738,0.55
2020-01-10,70.044,70.018,70.317,69.55,1313178,1877259984.0,1.1,0.66,0.458,0.44
2020-01-13,70.333,70.572,70.644,69.839,1537317,2207549952.0,1.15,0.79,0.554,0.51
2020-01-14,70.57,70.1,70.702,69.959,1305636,1873366016.0,1.05,-0.67,-0.472,0.44
2020-01-15,70.221,70.53,70.609,70.153,1077519,1548435376.0,0.65,0.61,0.43,0.36
2020-01-16,70.843,71.078,71.105,70.57,1304040,1886046880.0,0.76,0.78,0.548,0.43
2020-01-17,71.697,72.546,72.598,71.398,2621175,3855798160.0,1.69,2.07,1.468,0.87
2020-01-21,72.52,72.683,73.064,72.081,2446601,3656017536.0,1.36,0.19,0.137,0.82
2020-01-22,73.057,72.779,73.599,72.703,1422946,2118832368.0,1.23,0.13,0.096,0.47
2020-01-23,72.948,72.805,73.245,72.586,1332562,1980238656.0,0.91,0.04,0.026,0.44
2020-01-24,73.211,71.879,73.28,71.729,1489280,2195266816.0,2.13,-1.27,-0.926,0.5
2020-01-27,70.147,70.157,70.399,69.545,1706566,2440172944.0,1.19,-2.4,-1.722,0.57
2020-01-28,70.657,71.095,71.31,70.088,1486586,2150424656.0,1.74,1.34,0.938,0.5
2020-01-29,71.493,71.405,71.777,70.84,1081964,1576255312.0,1.32,0.44,0.31,0.36
2020-01-30,70.475,71.283,71.333,70.32,1355472,1958351632.0,1.42,-0.17,-0.122,0.45
2020-01-31,71.963,70.209,72.054,69.923,2191075,3151371856.0,2.99,-1.51,-1.074,0.73
2020-02-03,71.653,72.7,72.885,71.401,3608760,5318878208.0,2.11,3.55,2.491,1.2
2020-02-04,71.295,70.841,71.937,69.672,4793967,6886224384.0,3.12,-2.56,-1.859,1.6
2020-02-05,71.751,70.873,71.799,70.054,1818793,2624597808.0,2.46,0.05,0.032,0.61
2020-02-06,71.169,72.369,72.648,71.094,1891079,2780091904.0,2.19,2.11,1.496,0.63
2020-02-07,71.94,72.526,72.833,71.841,1418049,2093699840.0,1.37,0.22,0.157,0.47
2020-02-10,72.432,74.003,74.014,72.33,1915072,2873570592.0,2.32,2.04,1.477,0.64
2020-02-11,74.234,74.073,75.064,73.843,1742647,2643341808.0,1.65,0.09,0.07,0.58
2020-02-12,74.363,74.502,74.585,74.004,1552136,2353726704.0,0.78,0.58,0.429,0.52
2020-02-13,74.07,74.24,74.868,73.77,1145658,1734794144.0,1.47,-0.35,-0.262,0.38
2020-02-14,74.297,74.507,74.573,73.848,1159857,1758156624.0,0.98,0.36,0.267,0.39
2020-02-18,74.287,74.542,75.098,74.121,1284011,1951854512.0,1.31,0.05,0.035,0.43
2020-02-19,74.93,74.814,75.107,74.619,1137338,1735826320.0,0.65,0.36,0.272,0.38
2020-02-20,74.521,74.42,74.924,73.783,1298386,1968135552.0,1.53,-0.53,-0.394,0.43
2020-02-21,73.799,72.743,74.118,72.495,2126843,3169219648.0,2.18,-2.25,-1.677,0.71
2020-02-24,69.723,69.563,70.389,68.91,2478039,3526721248.0,2.03,-4.37,-3.18,0.83
2020-02-25,70.12,67.886,70.413,67.591,2578966,3621201376.0,4.06,-2.41,-1.677,0.86
2020-02-26,68.319,68.094,69.254,67.398,2490178,3475990784.0,2.73,0.31,0.208,0.83
2020-02-27,66.527,64.318,67.04,64.282,3114476,4173775680.0,4.05,-5.55,-3.776,1.04
2020-02-28,62.286,65.533,65.693,61.981,4010900,5229124096.0,5.77,1.89,1.215,1.34
2020-03-02,66.14,67.886,67.944,64.83,2771463,3771876544.0,4.75,3.59,2.353,0.92
2020-03-03,68.454,65.456,68.98,65.032,2830112,3857441376.0,5.82,-3.58,-2.43,0.94
2020-03-04,66.518,67.65,67.709,65.42,2379856,3248125840.0,3.5,3.35,2.194,0.79
2020-03-05,65.848,64.308,66.252,63.652,2718982,3605730224.0,3.84,-4.94,-3.342,0.91
2020-03-06,62.068,63.357,63.708,61.431,3232315,4132426688.0,3.54,-1.48,-0.951,1.08
2020-03-09,58.818,59.36,61.207,58.472,3462578,4242106256.0,4.32,-6.31,-3.997,1.15
2020-03-10,61.29,62.329,62.363,59.296,2743566,3434113216.0,5.17,5.0,2.969,0.91
2020-03-11,60.984,59.115,61.417,58.127,2741694,3338244880.0,5.28,-5.16,-3.214,0.91
2020-03-12,54.701,54.148,58.008,53.994,4716293,5330658816.0,6.79,-8.4,-4.967,1.57
2020-03-13,57.32,59.284,59.29,54.185,3969973,4719370752.0,9.43,9.49,5.136,1.32
2020-03-16,53.051,52.22,55.844,51.924,4825981,5293383936.0,6.61,-11.92,-7.064,1.61
2020-03-17,53.102,54.473,54.87,51.025,4159686,4558209536.0,7.36,4.31,2.253,1.39
2020-03-18,51.567,53.13,53.82,50.42,4652238,4998711040.0,6.24,-2.47,-1.343,1.55
2020-03-19,52.981,54.154,56.201,51.348,3703248,4120806816.0,9.13,1.93,1.024,1.23
2020-03-20,55.115,51.981,55.494,51.675,4143897,4543420416.0,7.05,-4.01,-2.173,1.38
