datetime,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2020-01-02,202.65,205.68,205.69,202.17,12090707,2518104208.0,1.75,2.25,4.53,0.42
2020-01-03,203.11,204.57,206.3,202.85,11197416,2343617264.0,1.68,-0.54,-1.11,0.39
2020-01-06,202.6,208.5,208.68,202.42,17073861,3600890080.0,3.06,1.92,3.93,0.6
2020-01-07,208.72,208.96,210.48,207.65,15111857,3224910208.0,1.36,0.22,0.46,0.53
2020-01-08,208.9,211.12,212.14,208.51,13492703,2897227120.0,1.74,1.03,2.16,0.47
2020-01-09,213.44,214.2,214.28,212.18,12679579,2758155424.0,0.99,1.46,3.08,0.44
2020-01-10,215.1,213.96,215.78,213.32,12127432,2651467488.0,1.15,-0.11,-0.24,0.43
2020-01-13,215.5,217.81,217.87,215.11,14494517,3202659200.0,1.29,1.8,3.85,0.51
2020-01-14,217.51,214.96,218.28,214.53,13315361,2932439184.0,1.72,-1.31,-2.85,0.47
2020-01-15,216.51,217.05,217.58,216.04,10036475,2217827200.0,0.72,0.97,2.09,0.35
2020-01-16,218.47,217.67,218.53,216.29,10015288,2217901744.0,1.03,0.29,0.62,0.35
2020-01-17,217.93,218.04,218.19,216.43,15905944,3525795776.0,0.81,0.17,0.37,0.56
2020-01-21,218.06,217.34,218.27,215.02,14275784,3155017344.0,1.49,-0.32,-0.7,0.5
2020-01-22,218.21,217.22,218.65,217.18,12212814,2710204656.0,0.68,-0.06,-0.12,0.43
2020-01-23,216.65,215.66,217.39,215.17,11195000,2464555376.0,1.02,-0.72,-1.56,0.39
2020-01-24,216.7,213.84,217.68,212.01,11905824,2602621232.0,2.63,-0.84,-1.82,0.42
2020-01-27,209.0,210.77,211.96,208.4,13810655,2966676192.0,1.66,-1.44,-3.07,0.48
2020-01-28,212.04,213.69,214.64,209.42,13413835,2909976752.0,2.48,1.39,2.92,0.47
2020-01-29,217.34,219.13,220.1,214.35,33610005,7468046592.0,2.69,2.55,5.44,1.18
2020-01-30,202.43,205.43,207.33,200.65,48775500,10188341760.0,3.05,-6.25,-13.7,1.71
2020-01-31,204.33,197.81,204.59,196.96,31359917,6383282432.0,3.71,-3.71,-7.62,1.1
2020-02-03,199.34,200.09,201.04,198.4,15510509,3163448928.0,1.33,1.15,2.28,0.54
2020-02-04,202.52,205.73,206.5,201.1,19628890,4095060656.0,2.7,2.82,5.64,0.69
2020-02-05,208.41,206.01,208.63,204.61,12538154,2635340976.0,1.95,0.14,0.28,0.44
2020-02-06,206.37,206.75,207.09,205.24,10567533,2225438672.0,0.9,0.36,0.74,0.37
2020-02-07,206.2,208.23,208.72,205.83,12242530,2591756112.0,1.4,0.72,1.48,0.43
2020-02-10,207.42,208.96,209.7,206.56,11856350,2519497552.0,1.51,0.35,0.73,0.42
2020-02-11,206.09,203.09,206.76,202.41,25030810,5219054848.0,2.08,-2.81,-5.87,0.88
2020-02-12,203.75,206.66,207.12,203.3,13813704,2898012880.0,1.88,1.76,3.57,0.48
