datetime,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2022-01-03,323.54,322.94,326.19,317.97,28918013,9634896384.0,2.53,-0.48,-1.57,0.39
2022-01-04,323.02,317.2,323.39,314.31,32674306,10765419008.0,2.81,-1.78,-5.74,0.44
2022-01-05,314.05,304.57,314.26,304.17,40054327,12819830528.0,3.18,-3.98,-12.63,0.53
2022-01-06,301.34,302.07,306.89,299.68,39646148,12496153856.0,2.37,-0.82,-2.5,0.53
2022-01-07,302.02,302.23,304.681,298.29,32720018,10267072768.0,2.12,0.05,0.16,0.44
2022-01-10,297.675,302.46,302.91,292.88,44289467,13735401472.0,3.32,0.08,0.23,0.59
2022-01-11,301.57,303.17,304.8,298.08,29386774,9233614848.0,2.22,0.23,0.71,0.39
2022-01-12,307.86,306.46,311.6,305.27,34372217,10982061568.0,2.09,1.09,3.29,0.46
2022-01-13,308.656,292.99,309.07,292.19,45365979,14046508800.0,5.51,-4.4,-13.47,0.6
2022-01-14,292.44,298.39,299.01,291.94,39846414,12279932928.0,2.41,1.84,5.4,0.53
2022-01-18,292.26,290.84,297.99,289.93,42434112,12931380736.0,2.7,-2.53,-7.55,0.57
2022-01-19,294.48,291.52,302.099,290.89,45933855,14163337472.0,3.85,0.23,0.68,0.61
2022-01-20,297.26,289.79,299.839,289.33,35380675,10871606272.0,3.6,-0.59,-1.73,0.47
2022-01-21,290.875,284.22,292.3,283.8,57984403,17374513408.0,2.93,-1.92,-5.57,0.77
2022-01-24,280.39,284.56,285.3,264.24,86035393,24834547456.0,7.41,0.12,0.34,1.15
2022-01-25,279.71,276.68,283.18,273.36,72848638,21100842496.0,3.45,-2.77,-7.88,0.97
2022-01-26,296.175,284.9,296.69,281.22,90428853,27159997952.0,5.59,2.97,8.22,1.21
2022-01-27,290.85,288.03,295.49,286.12,53481317,16181046016.0,3.29,1.1,3.13,0.71
2022-01-28,288.42,296.45,296.67,282.64,49743698,15071501056.0,4.87,2.92,8.42,0.66
2022-01-31,297.14,299.17,300.57,294.56,46444536,14372411648.0,2.03,0.92,2.72,0.62
2022-02-01,298.6,296.95,298.82,293.319,40950396,12586927104.0,1.84,-0.74,-2.22,0.55
2022-02-02,297.82,301.65,303.31,297.07,36635989,11442118144.0,2.1,1.58,4.7,0.49
