datetime,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,390.1,379.28,392.73,373.04,109710749,41792595456.0,4.88,-6.08,-24.56,3.41
2025-01-03,381.48,410.44,411.88,379.45,95423329,37917480448.0,8.55,8.22,31.16,2.97
2025-01-06,423.2,411.05,426.43,401.7,85516534,35226252544.0,6.03,0.15,0.61,2.66
2025-01-07,405.83,394.36,414.33,390.0,75699525,30094489088.0,5.92,-4.06,-16.69,2.35
2025-01-08,392.95,394.94,402.5,387.4,73038805,28887129600.0,3.83,0.15,0.58,2.27
2025-01-10,391.4,394.74,399.28,377.29,62287333,24449159936.0,5.57,-0.05,-0.2,1.94
2025-01-13,383.21,403.31,403.79,380.07,67580494,26511207424.0,6.01,2.17,8.57,2.1
2025-01-14,414.34,396.36,422.64,394.54,84565022,34529090816.0,6.97,-1.72,-6.95,2.63
2025-01-15,409.9,428.22,429.8,405.661,81375460,34150582016.0,6.09,8.04,31.86,2.53
2025-01-16,423.49,413.82,424.0,409.13,68335151,28338008064.0,3.47,-3.36,-14.4,2.12
2025-01-17,421.5,426.5,439.74,419.75,94991429,40955533056.0,4.83,3.06,12.68,2.95
2025-01-21,432.64,424.07,433.2,406.31,87320894,36385795328.0,6.3,-0.57,-2.43,2.72
2025-01-22,416.81,415.11,428.0,414.59,60963342,25601734144.0,3.16,-2.11,-8.96,1.9
2025-01-23,416.06,412.38,420.73,408.95,50690592,20932827904.0,2.84,-0.66,-2.73,1.58
2025-01-24,414.45,406.58,418.88,405.78,56427149,23236969472.0,3.18,-1.41,-5.8,1.75
2025-01-27,394.8,397.15,406.69,389.0,58125510,23137470208.0,4.35,-2.32,-9.43,1.81
2025-01-28,396.91,398.09,400.59,386.5,48910676,19258997504.0,3.55,0.24,0.94,1.52
2025-01-29,395.21,389.1,398.59,384.48,68033648,26546622720.0,3.54,-2.26,-8.99,2.12
2025-01-30,410.78,400.28,412.5,384.41,98092879,39125415424.0,7.22,2.87,11.18,3.05
2025-01-31,401.53,404.6,419.99,401.34,83568219,34393608960.0,4.66,1.08,4.32,2.6
2025-02-03,386.68,383.68,389.17,374.36,93732122,35879849472.0,3.66,-5.17,-20.92,2.91
2025-02-04,382.63,392.21,394.0,381.4,57072235,22088835840.0,3.28,2.22,8.53,1.77
2025-02-05,387.51,378.17,388.39,375.53,57614721,21968887552.0,3.28,-3.58,-14.04,1.79
2025-02-06,373.03,374.32,375.4,363.18,77918230,28732217856.0,3.23,-1.02,-3.85,2.42
2025-02-07,370.19,361.62,380.546,360.34,70298258,25921946880.0,5.4,-3.39,-12.7,2.19
2025-02-10,356.21,350.73,362.7,350.51,77514903,27640119808.0,3.37,-3.01,-10.89,2.41
2025-02-11,345.8,328.5,349.37,325.1,118543400,39737595392.0,6.92,-6.34,-22.23,3.69
2025-02-12,329.94,336.51,346.4,329.12,105382729,35779451136.0,5.26,2.44,8.01,3.28
2025-02-13,345.0,355.94,358.69,342.85,89441519,31504774656.0,4.71,5.77,19.43,2.78
2025-02-14,360.62,355.84,362.0,347.5,68277279,24119464448.0,4.07,-0.03,-0.1,2.12
2025-02-18,355.01,354.11,359.1,350.02,51631702,18302832128.0,2.55,-0.49,-1.73,1.61
2025-02-19,354.0,360.56,367.34,353.67,67094374,24279152896.0,3.86,1.82,6.45,2.09
2025-02-20,361.51,354.4,362.3,348.0,45965354,16242406656.0,3.97,-1.71,-6.16,1.43
2025-02-21,353.44,337.8,354.98,334.42,74058648,25337425408.0,5.8,-4.68,-16.6,2.3
2025-02-24,338.14,330.53,342.397,324.7,76052321,25346202112.0,5.24,-2.15,-7.27,2.36
2025-02-25,327.025,302.8,328.89,297.251,134228777,41053391360.0,9.57,-8.39,-27.73,4.17
2025-02-26,303.715,290.8,309.0,288.04,100118276,29734965760.0,6.92,-3.96,-12.0,3.11
2025-02-27,291.16,281.95,297.23,280.88,101748197,29233936384.0,5.62,-3.04,-8.85,3.16
2025-02-28,279.5,292.98,293.88,273.6,115696968,33229656576.0,7.19,3.91,11.03,3.6
